symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset.1,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle,result
FLOYD,495425.73,83166.35,180000,412259.38,382770.23,376790.51,14043.53,6186.83,5361,0.01,-75991.18,-25265.63,-88.6,-101345.41,1.31,1.28,13.12,1.4,1.62,0.2,,4.95,4.77,2.45,0.79,37.77,9.66,5.04,72.4,7.16,51,31.06,0
FPI,3131484,1322500,378257,1808984,2136920,1755290,614186.35,401591,328979,0.22,245699,-123890,-241501,-119692,19.34,13.38,23.26,15.4,18.79,0.73,24.09,1.51,1.07,1.68,0.71,3.48,105,2.36,154.56,4.64,78.69,180.87,0
FSMART,2937196.5,1809877.5,390000,1127244.45,2927439.2,2424663.78,1020363.14,502775.42,400058.14,0.53,1026261.9,-155230.48,-943516.34,-72484.92,35.15,15.73,19.73,13.67,17.17,1.61,25.27,0.83,0.22,2.09,0.92,46,7.93,6.66,54.77,3.41,107.14,-44.43,0
FVC,843820.81,407276.66,282571.48,326530.81,650908.56,595311.94,91125.28,55596.62,37977.77,0.07,-8673.9,-42211.1,67213.4,16328.41,11.98,7.03,27.77,6.57,8.54,0.93,8.05,1.55,1.04,2.32,0.82,3.39,107.76,3.35,109.11,2.76,132.28,84.6,0
GCAP,1866926.85,1408366.21,150000,458560.64,253527.25,202554.59,62736.54,50972.66,-58565.19,-0.2,410554.78,-8519.88,-379365.6,22669.3,-12.03,2.4,50.32,-23.1,20.11,3.07,0.41,0.8,0.05,-,0.12,,-,,-,,-,-,1
GLORY,315806.69,19142.19,135000,296664.51,93425.96,74803.89,32958.37,18622.07,15079.65,0.07,16904.99,-177358.48,177000,16546.51,7.33,8.23,55.84,16.14,19.93,0.06,,11.35,11.34,1.99,0.41,307.96,1.19,22.66,16.11,2.11,173.01,-155.71,0
GSC,238733.89,28613.3,125000,210105.59,90206.42,104860.4,-7116.14,-14653.98,-15636.58,-0.06,2411.02,27098.19,-2962.89,26546.32,-7.22,-5.91,33.93,-17.33,-16.24,0.14,-9.96,33.46,32.07,4.51,0.36,,-,9.33,39.14,30.64,11.91,27.22,0
GTB,1016255.68,366390.3,240000,649864.39,894097.48,962996.87,-33089.26,-68182.82,-58790.99,-0.06,45979.85,19622.91,-25609.93,39992.84,-8.55,-6.6,14.11,-6.58,-7.63,0.56,-29.41,2.26,1,3.37,0.87,6.7,54.52,5.46,66.84,3.99,91.45,29.91,0
GTV,4733310.17,1524123.88,5065171.46,3025617.15,306558.34,271789.62,177085.22,54447.03,-12228.89,-,71449.44,36396.39,-69086.98,38758.85,-0.41,1.39,43.14,-1.51,17.76,0.47,0.82,2.23,0.38,0.28,0.08,0.33,1107.05,0.88,413.67,1.91,190.84,1329.89,1
HARN,1685723.3,367189.91,292250,1317966.42,1046132.46,953777.8,136375.18,92354.66,72271.14,0.12,68249.6,-45690.87,-86762.06,-64203.32,5.49,5.52,30.44,6.9,8.83,0.28,39.99,3.89,2.38,5.82,0.63,2.44,149.88,4.05,90.08,3.84,95.02,144.94,0
